driverId,week,hours-logged,miles-logged
755,11,58,200
391,30,74,2400
697,52,58,1800
658,42,56,2300
196,29,70,2500
862,14,55,1400
883,32,69,2400
779,28,78,600
860,37,63,1500
253,33,51,1100
254,26,62,100
447,39,50,2100
507,9,63,3300
392,37,51,700
182,37,67,1300
92,23,53,2500
685,45,64,1700
32,51,50,1800
593,36,52,3700
365,22,66,100
617,39,54,1900
801,38,72,800
954,22,51,400
33,52,50,2700
127,52,67,200
413,44,54,3700
682,16,63,600
19,37,80,0
664,10,54,2400
439,42,69,400
738,17,58,0
581,51,76,1000
354,20,57,1800
32,34,52,1000
798,17,58,1400
895,33,50,600
215,30,78,3300
251,35,77,700
826,52,78,1800
574,45,80,2100
449,51,75,3000
999,49,60,1400
71,39,71,1700
343,24,61,3800
905,27,55,0
854,8,70,0
501,49,67,2400
13,40,55,4000
300,40,61,3200
918,24,73,3700
632,17,53,0
939,6,55,2800
785,13,52,1200
266,39,75,800
500,43,55,1600
953,25,64,2700
1006,6,54,3400
322,39,60,2600
827,9,57,3800
508,20,62,3200
153,40,77,600
462,31,60,3600
461,5,74,3800
31,25,73,2000
879,26,63,2000
1002,52,62,2900
625,41,63,200
783,32,65,1300
88,38,71,3300
279,34,66,2500
322,18,50,900
721,32,66,300
981,34,77,3700
637,24,57,2400
948,26,51,3900
346,8,70,900
661,14,77,2300
370,25,60,3300
976,9,62,1700
526,17,56,1300
899,22,51,200
344,21,79,3000
217,44,59,3500
109,15,67,1000
984,34,72,2500
746,9,62,3600
204,38,72,2100
892,5,56,300
858,15,50,400
21,7,80,1100
387,1,77,2900
453,12,64,1000
133,16,68,3100
732,37,52,0
1006,35,58,3400
842,35,71,3900
282,13,52,200
930,32,71,300
936,14,67,800
435,51,64,1500
812,14,53,1200
853,14,71,0
579,43,51,3000
546,15,57,200
138,34,63,3600
506,16,72,2300
729,44,59,0
622,3,75,3100
83,36,70,2300
472,30,79,1300
56,44,53,2900
1004,38,65,2500
18,49,79,1100
636,13,63,3800
165,4,50,400
567,47,58,0
164,2,67,1900
333,29,63,1700
108,19,66,4000
139,26,53,3800
239,13,78,900
243,27,78,2000
932,43,60,2500
401,33,76,3800
633,26,76,3900
506,33,57,3500
538,24,75,3400
644,45,50,700
903,29,75,2500
27,28,58,600
629,12,71,200
193,44,57,1800
428,51,76,800
305,47,55,2400
120,38,66,3400
30,45,78,1100
859,5,75,500
123,38,79,1400
220,32,66,3800
722,18,62,2800
